agent_id,company_NIF,company_value,total_value_in_stocks,company_percentage,declaration_date
A0061,100000019,45115141.09,0.0,27.74,2018-05-13
A0062,100000061,42680158.26,92277.92,16.26,2018-06-25
A0062,100000172,21266664.97,349634.51,14.97,2020-06-26
A0062,100000169,37579832.0,362386.92,17.95,2024-08-03
A0062,100000158,34576335.34,0.0,7.74,2018-12-26
A0063,100000068,16857069.21,0.0,21.07,2019-12-28
A0063,100000124,32732254.16,0.0,20.78,2026-01-18
A0063,100000128,33665349.3,0.0,42.73,2020-04-04
A0063,100000032,37967714.31,0.0,45.64,2023-06-30
A0064,100000023,34322702.68,0.0,57.57,2022-09-29
A0064,100000100,25896424.84,0.0,31.31,2021-11-24
A0064,100000091,6380769.95,6719.13,44.59,2021-08-24
A0065,100000106,4966591.9,0.0,40.67,2022-09-22
A0065,100000106,29531088.5,0.0,33.62,2021-05-20
A0065,100000011,21608311.9,52311.12,33.98,2020-09-05
A0066,100000064,1693398.73,7554.07,24.5,2024-05-18
A0066,100000094,35084518.95,0.0,18.88,2019-04-23
A0066,100000018,29763607.12,431658.35,13.22,2022-08-29
A0066,100000048,13779155.99,0.0,11.32,2022-03-02
A0067,100000130,20351399.25,7564.02,9.0,2022-07-14
A0068,100000151,47490970.66,353945.05,7.81,2025-03-11
A0069,100000145,37214709.16,124347.17,27.12,2021-07-01
A0069,100000142,35286224.23,399062.98,50.39,2022-05-08
A0069,100000148,15904454.2,53055.88,29.22,2023-05-28
A0069,100000146,25865920.55,0.0,45.24,2024-10-20
A0070,100000189,29011022.4,114951.97,11.97,2020-07-08
A0070,100000014,25238370.41,0.0,20.92,2018-07-28
A0070,100000066,20045377.34,38857.09,42.55,2020-01-21
A0070,100000046,40871476.8,62824.18,45.74,2026-03-17
A0071,100000108,12517971.35,0.0,15.1,2019-05-09
A0072,100000123,29734092.94,0.0,16.97,2026-01-21
A0072,100000196,24905018.29,0.0,0.7,2020-04-14
A0073,100000192,28962734.71,0.0,36.4,2023-08-20
A0074,100000062,34426555.31,65213.49,28.05,2018-03-11
A0074,100000134,17949027.02,35726.54,21.83,2022-05-10
A0074,100000001,8345390.88,0.0,25.26,2020-02-29
A0074,100000003,18066602.43,236782.27,24.85,2023-04-11
A0075,100000164,25026272.91,0.0,44.24,2022-03-11
A0075,100000100,15177233.13,155719.21,37.26,2024-10-26
A0076,100000016,15600462.27,66695.85,0.21,2018-02-04
A0076,100000181,42902104.17,0.0,2.22,2019-10-15
A0076,100000120,11682077.78,209068.25,12.27,2019-06-07
A0077,100000196,35762967.97,0.0,31.47,2021-06-01
A0077,100000177,11143916.73,109783.97,59.22,2021-08-23
A0077,100000032,12234145.41,128555.67,41.04,2021-10-30
A0078,100000020,26227749.09,0.0,7.04,2019-09-12
A0078,100000003,41905425.85,685236.76,57.92,2024-01-22
A0078,100000000,22034106.52,0.0,41.24,2025-07-17
A0078,100000180,17146245.17,62206.66,43.22,2025-06-21
A0079,100000035,28546917.11,106676.91,39.71,2020-03-29
A0079,100000166,43856439.44,52787.27,58.07,2025-12-18
A0079,100000026,46575766.09,390056.92,5.72,2023-08-21
A0079,100000195,24736905.28,199226.8,4.81,2024-10-05
A0080,100000053,21771038.84,0.0,38.29,2022-05-30
A0081,100000100,46987109.28,699176.0,39.09,2021-05-29
A0081,100000122,4608247.61,0.0,10.59,2020-10-05
A0082,100000106,16992092.65,191938.99,57.1,2023-10-13
A0082,100000071,10432239.17,119743.72,20.24,2025-09-02
A0083,100000156,9478596.02,0.0,3.05,2025-06-12
A0083,100000153,49665544.71,0.0,16.76,2020-07-10
A0083,100000125,17906771.53,0.0,21.74,2025-09-21
A0083,100000050,6275135.58,0.0,40.01,2020-04-02
A0084,100000181,17804545.37,0.0,15.13,2025-09-24
A0084,100000114,17171094.93,150734.38,57.18,2023-01-24
A0085,100000149,3324375.93,43978.64,37.92,2026-03-16
A0086,100000013,25564935.94,371322.88,22.21,2024-03-25
A0086,100000015,4285888.63,0.0,27.42,2025-11-11
A0087,100000084,42611547.77,0.0,9.19,2024-12-25
A0087,100000074,30577990.45,0.0,47.75,2023-08-13
A0087,100000091,36438166.75,0.0,9.68,2023-09-01
A0087,100000060,45073588.39,496878.11,30.51,2018-01-17
A0088,100000083,29767965.48,487426.94,7.34,2022-12-15
A0089,100000105,5373428.17,0.0,16.17,2022-06-27
A0089,100000185,42998801.63,0.0,5.19,2022-12-10
A0089,100000105,7745637.93,976.34,50.36,2019-11-14
A0089,100000034,40442865.28,182358.01,42.22,2022-05-04
A0090,100000145,33170895.59,0.0,39.37,2025-12-11
A0091,100000033,28533047.97,148521.09,33.81,2020-12-15
A0092,100000048,37489356.55,0.0,40.29,2020-11-14
A0092,100000189,23442900.67,24923.94,51.52,2022-08-04
A0092,100000101,44189119.79,250579.25,4.7,2024-01-31
A0093,100000087,1806332.99,238.55,37.56,2018-05-20
A0093,100000181,42689949.18,0.0,53.7,2025-10-27
A0093,100000094,36292884.44,7243.64,35.7,2022-12-22
A0093,100000131,47358394.27,0.0,11.33,2024-04-30
A0094,100000193,10225199.97,0.0,35.51,2018-03-04
A0094,100000029,14954071.96,0.0,34.79,2019-09-24
A0094,100000163,21338350.42,353707.62,27.63,2019-03-11
A0095,100000171,2682545.7,15146.67,13.86,2023-12-16
A0095,100000126,49767048.89,0.0,32.14,2022-12-01
A0095,100000034,7852877.72,54739.79,0.14,2020-07-04
A0096,100000140,5909695.81,0.0,56.4,2018-10-01
A0096,100000040,45734864.62,538165.28,0.78,2024-12-05
A0097,100000101,22001908.1,106094.26,51.16,2020-06-19
A0097,100000113,1855151.07,0.0,9.92,2025-04-03
A0097,100000113,38942894.65,194812.72,13.49,2023-08-24
A0097,100000057,19391428.3,0.0,59.22,2022-09-19
A0098,100000000,5931382.43,0.0,27.65,2025-01-20
A0098,100000178,20875961.51,0.0,0.25,2021-08-28
A0098,100000125,42110678.39,145935.9,48.35,2020-03-04
A0098,100000150,24437493.95,438039.21,24.54,2021-07-25
A0099,100000100,10860113.45,248117.42,49.14,2020-09-26
A0099,100000019,36564354.65,264863.31,23.61,2018-01-24
A0099,100000151,49733786.38,389535.75,56.78,2021-01-13
A0100,100000140,25262558.0,0.0,39.26,2020-09-14
A0100,100000183,37997609.84,0.0,39.7,2023-10-21
A0100,100000128,7101085.56,0.0,25.78,2019-10-21
A0100,100000084,5631460.1,0.0,12.82,2024-08-12
A0101,100000108,21559084.06,0.0,50.36,2021-07-19
A0101,100000069,39090399.22,0.0,59.07,2018-07-19
A0102,100000144,3535693.37,0.0,19.73,2018-02-27
A0103,100000199,6985359.26,53108.06,17.7,2021-07-16
A0104,100000196,3003380.05,0.0,44.03,2018-10-16
A0104,100000148,48342627.04,209896.27,40.32,2018-05-24
A0104,100000115,25816927.86,543900.58,12.66,2021-08-04
A0104,100000065,45966065.59,0.0,23.61,2025-12-14
A0105,100000161,25311195.4,0.0,18.61,2020-09-26
A0105,100000102,12366878.82,0.0,45.22,2024-06-08
A0106,100000141,6127090.99,68819.64,36.3,2019-03-16
A0107,100000147,4316494.4,84955.65,22.74,2020-06-16
A0107,100000036,47993781.12,0.0,6.64,2021-12-05
A0107,100000075,33354476.11,174169.5,7.64,2025-02-23
A0108,100000167,9582027.38,0.0,47.6,2025-01-25
A0108,100000017,48357277.64,0.0,6.3,2024-07-15
A0108,100000167,38029109.54,1009390.2,2.61,2024-09-28
A0109,100000191,15396536.12,0.0,0.96,2025-06-03
A0109,100000147,41458887.16,134474.56,17.03,2021-07-08
A0109,100000144,31617914.83,174830.53,26.96,2024-08-12
A0110,100000186,38256299.47,475425.28,41.03,2019-07-26
A0111,100000142,22935254.05,39610.75,32.58,2022-09-12
A0111,100000119,22080091.5,79432.11,23.41,2025-02-04
A0112,100000042,26655823.25,0.0,50.51,2021-08-04
A0112,100000018,39273883.06,188471.84,53.67,2021-06-22
A0112,100000004,28644576.07,0.0,38.9,2023-04-11
A0112,100000140,23595639.56,153985.33,13.15,2021-04-03
A0113,100000005,26016138.86,0.0,31.73,2022-07-27
A0113,100000061,38055143.36,157624.09,9.75,2025-06-14
A0114,100000162,34520097.96,34521.36,37.45,2023-01-08
A0114,100000180,19856599.72,223836.02,0.61,2022-04-14
A0115,100000130,1216327.77,0.0,10.09,2019-05-17
A0115,100000089,28402781.86,0.0,56.01,2024-03-06
A0116,100000030,41420256.27,545724.37,13.43,2019-03-08
A0116,100000019,25958384.26,0.0,48.78,2018-08-20
A0116,100000087,23004742.25,0.0,26.32,2023-01-27
A0117,100000018,49389376.98,0.0,35.62,2025-06-16
A0117,100000143,7603913.47,106430.98,33.21,2018-05-17
A0117,100000058,8648188.9,0.0,3.64,2022-12-24
A0117,100000081,14220987.12,455976.57,48.25,2022-01-04
A0118,100000060,1634024.15,17365.18,40.81,2022-09-07
A0118,100000003,24951362.13,69862.44,22.75,2023-05-29
A0119,100000152,9317636.44,0.0,52.33,2024-09-11
A0120,100000169,19522248.3,76988.6,55.74,2021-10-31
A0120,100000192,4143073.25,22497.46,52.84,2022-07-17
A0120,100000072,21296150.31,153104.27,34.61,2020-11-25
A0120,100000178,35024817.43,221431.83,21.87,2021-06-20
A0121,100000058,38510355.52,74853.33,27.21,2021-12-26
A0121,100000113,48655532.46,6203.37,43.18,2021-05-02
A0121,100000173,41356356.82,20683.97,48.67,2023-12-19
A0122,100000082,21543787.47,0.0,8.46,2024-10-08
A0122,100000146,35652611.57,477983.33,58.03,2023-11-03
A0123,100000026,6048259.46,37573.0,45.74,2019-04-05
A0123,100000080,24339838.7,0.0,44.18,2020-10-19
A0123,100000059,17871624.86,127649.15,32.65,2021-08-02
A0124,100000109,21602531.45,50133.05,17.28,2018-06-01
A0124,100000166,33389918.98,18458.31,22.16,2023-12-20
A0124,100000002,27685210.72,0.0,58.24,2023-08-27
A0124,100000188,4317834.36,48773.17,12.65,2024-07-15
A0125,100000066,35424841.3,368402.7,26.09,2019-12-28
A0125,100000194,25948126.84,0.0,29.14,2022-10-21
A0126,100000063,15660566.18,77312.2,55.31,2021-11-10
A0127,100000051,42851402.98,0.0,41.32,2024-01-23
A0127,100000147,15732012.35,0.0,9.13,2022-01-12
A0127,100000035,16730142.61,0.0,16.81,2018-08-08
A0127,100000086,43315195.6,382403.31,4.72,2021-10-13
A0128,100000135,32260429.31,366096.62,56.32,2022-07-07
A0128,100000049,1370256.66,7090.99,32.17,2025-03-05
A0128,100000051,48114199.78,460607.49,48.27,2025-08-05
A0128,100000189,8121849.07,45382.66,52.44,2018-12-30
A0129,100000028,37624612.23,0.0,39.94,2022-05-16
A0129,100000197,46553972.56,222156.46,9.73,2023-09-26
A0129,100000161,46840722.25,424793.33,22.73,2020-10-24
A0129,100000123,40466205.27,346393.95,25.14,2020-06-02
A0130,100000006,28268952.59,346183.34,12.63,2025-04-22
A0130,100000071,38113796.46,310967.32,28.23,2025-10-17
A0130,100000047,5703154.36,20851.94,24.85,2020-02-15
A0130,100000031,8595833.6,95521.07,47.81,2026-02-13
A0131,100000023,35923511.41,50269.7,46.34,2019-12-21
A0131,100000179,26011006.42,0.0,13.45,2025-10-26
A0131,100000000,38450275.23,14231.14,52.04,2022-05-24
A0132,100000089,29408510.25,0.0,14.52,2026-03-19
A0132,100000024,18666008.26,0.0,54.7,2021-10-31
A0133,100000071,27418657.97,0.0,3.96,2019-11-04
A0133,100000081,26962018.31,0.0,32.37,2020-09-06
A0133,100000021,1176408.85,0.0,15.75,2020-08-09
A0134,100000102,10948240.22,0.0,13.56,2019-10-12
A0134,100000129,24267328.75,57134.24,9.12,2021-08-29
A0134,100000170,31006287.68,17905.29,18.24,2021-06-17
A0135,100000148,27786514.79,0.0,48.82,2022-04-07
A0135,100000092,21904984.1,157189.05,26.64,2023-08-26
A0135,100000149,33057978.23,356776.2,42.86,2019-01-14
A0135,100000049,37218094.13,0.0,8.95,2022-02-10
A0136,100000134,42671266.82,0.0,25.13,2022-07-29
A0137,100000098,31630234.94,0.0,17.6,2021-05-05
A0137,100000112,34575903.43,0.0,23.26,2023-11-16
A0137,100000137,1993951.11,16581.36,10.57,2019-11-28
A0138,100000139,26512597.87,0.0,26.42,2025-04-20
A0138,100000163,23874705.77,0.0,17.44,2025-06-14
A0138,100000054,4823671.55,0.0,23.64,2020-04-08
A0139,100000004,15382156.13,109839.05,51.13,2018-06-21
A0139,100000026,37466769.36,0.0,28.2,2019-09-16
A0140,100000060,35348937.78,92017.96,56.69,2022-07-18
A0141,100000155,41443197.78,120177.22,3.04,2021-03-09
A0141,100000170,28977196.29,419493.4,30.03,2025-01-31
A0141,100000023,49938250.35,0.0,26.04,2020-11-06
A0142,100000174,47196466.61,0.0,2.17,2018-09-08
A0142,100000182,5798144.79,12577.79,57.05,2022-08-15
A0143,100000196,9767261.48,178015.06,22.58,2019-08-12
A0143,100000134,42017202.41,549735.54,16.52,2021-06-07
A0144,100000074,27137669.5,90061.23,45.03,2021-09-18
A0145,100000157,42823291.11,0.0,54.84,2022-03-30
A0145,100000038,29171922.3,243839.11,9.85,2018-11-08
A0145,100000195,32058887.71,0.0,50.27,2023-09-26
A0145,100000079,4910142.08,24153.4,31.67,2022-04-17
A0146,100000191,33331393.02,171503.44,2.72,2018-09-04
A0146,100000046,44659498.83,577180.31,51.99,2021-04-28
A0146,100000107,32219972.04,926024.69,35.51,2022-12-17
A0146,100000067,17439522.44,79623.98,36.79,2023-09-25
A0147,100000184,41211738.89,0.0,22.85,2021-07-03
A0148,100000018,21404245.99,21037.66,57.87,2025-01-10
A0148,100000125,15106622.27,0.0,32.79,2023-04-12
A0148,100000056,8227565.36,0.0,50.92,2018-11-08
A0149,100000089,9707294.76,0.0,3.45,2025-08-30
A0149,100000070,11361508.24,0.0,9.26,2023-11-20
A0149,100000146,14037761.07,23709.16,11.78,2020-11-07
A0149,100000003,40212391.37,0.0,27.71,2025-03-15
A0150,100000175,9405283.87,107903.86,27.9,2023-10-14
A0151,100000006,33399939.01,11468.97,10.22,2018-04-15
A0151,100000088,37702424.81,51018.08,38.36,2022-10-10
A0151,100000111,13376493.31,0.0,26.73,2021-10-23
A0152,100000056,39033958.32,120696.91,39.46,2023-08-09
A0152,100000195,23298999.19,194914.05,4.93,2021-07-21
A0153,100000065,4233397.67,0.0,44.16,2024-04-24
A0153,100000141,15342632.87,0.0,41.73,2024-06-29
A0153,100000045,41213795.61,0.0,9.48,2020-01-07
A0154,100000091,9868882.55,0.0,47.19,2023-09-16
A0155,100000035,22583883.27,0.0,6.73,2022-05-27
A0155,100000140,48637277.08,0.0,0.31,2019-10-09
A0155,100000106,9145983.15,83022.66,36.48,2018-07-06
A0156,100000194,37096820.34,102241.97,3.52,2025-12-28
A0156,100000034,45983897.42,124513.64,16.79,2018-09-17
A0156,100000059,15471971.94,144399.06,53.26,2018-08-10
A0157,100000176,18903362.47,0.0,45.05,2019-11-21
A0157,100000124,20474227.41,86279.14,15.11,2019-09-15
A0158,100000143,48053857.79,0.0,13.9,2021-04-26
A0158,100000012,46649269.09,222902.74,45.55,2025-08-13
A0159,100000123,18384224.28,0.0,38.58,2020-05-12
A0159,100000152,14034841.33,0.0,35.08,2026-03-15
A0160,100000188,10362788.48,0.0,31.52,2018-04-18
A0160,100000133,13478348.11,196252.3,24.71,2019-01-29
A0160,100000073,33112672.5,343361.95,33.44,2019-06-09
A0161,100000131,1997334.57,19358.92,19.23,2018-08-23
A0162,100000171,25283297.71,332171.16,30.72,2019-03-10
A0162,100000085,41977118.99,99090.63,35.11,2019-04-28
A0162,100000142,11358779.9,23393.6,7.6,2023-06-23
A0163,100000026,3547303.29,0.0,3.66,2020-11-02
A0163,100000073,29047005.35,0.0,15.5,2020-08-06
A0164,100000177,7118834.73,44058.52,4.4,2020-10-26
A0165,100000007,13553804.91,165395.82,12.1,2022-06-04
A0166,100000135,34036213.9,0.0,23.83,2023-06-17
A0166,100000193,15394798.57,0.0,12.57,2021-02-13
A0166,100000153,19474818.63,8736.41,22.76,2018-01-21
A0167,100000034,19543832.26,122550.43,13.23,2018-08-26
A0167,100000196,44200656.11,0.0,17.6,2023-04-09
A0167,100000067,1327321.87,0.0,6.3,2019-03-09
A0167,100000139,22381464.66,0.0,0.19,2024-08-30
A0168,100000128,18423918.74,0.0,38.4,2019-06-28
A0168,100000136,29695883.72,0.0,40.74,2021-03-01
A0169,100000078,13106265.61,0.0,13.04,2022-02-04
A0170,100000102,20400263.54,0.0,1.19,2025-12-12
A0171,100000123,19299908.16,302100.08,58.46,2025-09-26
A0171,100000110,15193785.34,55458.25,25.18,2024-04-08
A0171,100000013,37287697.18,130253.85,13.1,2022-10-17
A0172,100000102,4405378.93,27958.76,28.25,2021-07-14
A0172,100000038,32728742.61,0.0,15.77,2018-10-02
A0173,100000086,19888210.81,212483.84,14.72,2021-01-01
A0173,100000040,44080181.37,37773.2,36.63,2023-10-12
A0174,100000193,1559778.88,10547.63,36.84,2024-12-31
A0174,100000195,12776139.71,0.0,58.69,2022-02-10
A0175,100000189,42613957.12,0.0,41.92,2018-06-21
A0175,100000133,49102544.57,496220.55,39.24,2020-02-10
A0176,100000153,41997440.77,243391.49,48.37,2020-08-27
A0176,100000074,2479564.42,0.0,42.32,2018-12-11
A0177,100000158,24952926.23,0.0,48.6,2026-01-27
A0177,100000077,17123113.72,200735.06,27.37,2026-02-27
A0177,100000125,43601985.81,0.0,12.18,2023-01-16
A0178,100000009,29834719.89,504862.73,16.6,2024-11-27
A0178,100000010,21433539.54,0.0,34.6,2023-12-28
A0178,100000017,18865105.09,133326.91,36.23,2022-05-14
A0178,100000086,47344588.92,0.0,34.54,2020-08-12
A0179,100000024,2534634.52,15589.32,46.81,2020-04-01
A0179,100000197,2040611.71,0.0,41.26,2023-04-10
A0179,100000052,20671825.66,0.0,54.52,2026-03-07
A0179,100000148,3507744.14,1507.75,5.88,2018-03-24
A0180,100000028,25348728.64,0.0,42.38,2021-07-09
A0180,100000109,14617776.23,116311.75,37.53,2020-05-28
A0180,100000008,35957072.32,0.0,28.48,2019-10-24
A0181,100000175,39856597.39,0.0,30.22,2023-02-13
A0182,100000017,21792823.65,0.0,40.68,2024-06-18
A0182,100000150,16693459.55,0.0,6.14,2023-03-10
A0182,100000046,13115105.09,0.0,13.97,2018-10-15
A0182,100000030,27363404.53,661686.03,2.02,2021-09-21
A0183,100000142,21559384.64,194738.94,55.04,2019-03-29
A0183,100000037,40651627.63,30449.47,23.16,2025-10-14
A0183,100000040,4267117.18,0.0,33.0,2019-08-12
A0183,100000197,6765750.45,3133.66,35.25,2023-07-03
A0184,100000166,29295150.37,168826.95,9.96,2025-07-22
A0184,100000149,44080100.49,0.0,3.93,2018-04-16
