agent_id,company_NIF,total_value_in_stocks,company_percentage,declaration_date
A00105,100000012,51263.57,18.79,2018-06-10
A00105,100000012,44279.56,16.42,2022-05-23
A00048,100000017,133234.51,2.8,2021-03-04
A00048,100000017,135966.86,9.51,2021-05-03
A00075,100000021,81654.06,15.96,2020-11-11
A00075,100000021,85574.52,19.97,2022-08-21
A00075,100000021,89494.99,12.81,2023-09-17
A00075,100000021,93415.45,14.63,2024-03-27
A00075,100000021,97335.92,12.57,2025-08-29
A00014,100000035,154868.03,24.87,2019-03-29
A00014,100000035,165604.38,12.01,2019-07-01
A00014,100000035,176340.74,7.35,2019-10-21
A00014,100000035,187077.09,22.15,2020-03-26
A00071,100000030,186022.12,24.18,2020-11-26
A00071,100000030,183149.49,24.11,2022-11-04
A00076,100000077,62417.53,21.35,2020-09-19
A00076,100000077,57821.44,8.26,2021-02-13
A00074,100000084,169621.56,2.23,2018-05-08
A00074,100000084,263089.8,5.62,2022-10-25
A00074,100000084,356558.04,16.94,2022-12-22
A00074,100000084,450026.28,9.29,2023-08-28
A00078,100000088,67897.4,3.85,2018-06-04
A00078,100000088,74870.79,17.87,2021-11-10
A00078,100000088,81844.19,14.04,2024-12-12
A00047,100000054,54960.35,2.5,2019-06-22
A00047,100000054,56447.2,0.63,2022-09-02
A00047,100000054,57934.05,15.88,2023-03-06
A00047,100000054,59420.9,5.26,2025-09-07
A00097,100000086,178551.04,9.7,2019-02-04
A00097,100000086,175310.94,2.8,2025-01-03
A00097,100000086,172070.85,14.67,2025-05-25
A00003,100000094,120212.49,1.42,2018-02-20
A00003,100000094,115517.49,20.65,2019-07-29
A00003,100000094,110822.49,9.32,2020-05-03
A00003,100000094,106127.49,3.61,2021-02-22
A00003,100000094,101432.5,13.29,2024-01-07
A00103,100000035,15077.94,13.75,2018-01-05
A00103,100000035,15391.48,16.12,2020-02-13
A00103,100000035,15705.03,18.29,2021-01-31
A00103,100000035,16018.57,24.41,2021-05-04
A00103,100000035,16332.12,13.15,2022-05-15
A00115,100000084,160061.31,11.25,2022-08-10
A00115,100000084,150894.6,2.42,2022-08-21
A00129,100000085,20770.23,17.37,2018-04-27
A00129,100000085,17902.81,1.93,2020-01-11
A00089,100000035,91258.68,2.8,2019-05-28
A00089,100000035,80850.18,4.98,2019-09-26
A00059,100000043,113099.04,10.78,2019-12-05
A00059,100000043,115333.46,6.57,2020-06-15
A00059,100000043,117567.87,9.22,2021-04-27
A00107,100000011,71666.54,2.81,2020-09-23
A00107,100000011,55338.5,8.13,2025-07-07
A00001,100000003,24077.66,12.1,2019-03-29
A00001,100000003,23965.87,4.74,2020-08-15
A00001,100000003,23854.08,11.13,2021-05-12
A00001,100000003,23742.3,10.26,2026-02-07
A00046,100000068,55874.26,23.37,2022-11-17
A00046,100000068,68016.89,12.78,2025-01-13
A00046,100000068,80159.53,13.71,2025-10-20
A00002,100000031,10169.71,23.54,2018-12-02
A00002,100000031,56174.0,14.6,2019-05-31
A00002,100000031,102178.29,10.01,2022-11-18
A00002,100000031,148182.58,16.26,2024-04-24
A00002,100000031,194186.87,11.73,2025-10-10
A00079,100000051,80290.01,22.68,2021-07-15
A00079,100000051,89513.83,5.3,2022-06-25
A00079,100000051,98737.64,2.2,2025-07-01
A00004,100000086,125559.51,16.57,2022-06-19
A00004,100000086,119021.68,9.94,2024-12-21
A00120,100000067,101727.3,9.03,2018-04-25
A00120,100000067,104299.18,23.45,2019-02-22
A00120,100000067,106871.05,1.46,2019-09-09
A00120,100000067,109442.92,10.74,2022-06-14
A00062,100000033,115861.46,18.43,2019-11-07
A00062,100000033,116873.78,3.63,2023-03-08
A00062,100000033,117886.11,6.63,2024-11-09
A00062,100000033,118898.44,14.72,2025-09-09
A00124,100000015,51526.39,18.63,2018-02-06
A00124,100000015,58720.18,6.34,2025-06-03
A00070,100000030,166159.21,22.44,2019-08-19
A00070,100000030,163759.87,10.04,2021-07-20
A00070,100000030,161360.53,0.77,2022-12-27
A00070,100000030,158961.19,22.68,2023-10-11
A00062,100000097,191576.17,12.32,2018-03-17
A00062,100000097,195111.57,12.58,2018-09-22
A00062,100000097,198646.97,2.54,2024-11-07
A00013,100000089,46481.94,19.64,2019-01-31
A00013,100000089,55405.83,3.28,2026-01-17
A00013,100000089,64329.72,23.31,2026-03-15
A00077,100000069,199206.59,18.56,2021-04-24
A00077,100000069,181441.44,13.87,2026-03-02
A00132,100000040,125552.52,2.56,2020-01-21
A00132,100000040,120234.16,17.67,2020-08-11
A00132,100000040,114915.79,2.28,2025-03-20
A00132,100000040,109597.43,20.64,2025-05-29
A00070,100000039,197394.72,9.58,2021-05-02
A00070,100000039,196137.43,20.41,2021-12-16
A00070,100000039,194880.13,23.71,2022-03-21
A00070,100000039,193622.84,24.66,2023-09-08
A00070,100000039,192365.55,18.96,2025-05-05
A00048,100000028,113888.83,22.71,2022-12-16
A00048,100000028,112373.27,3.22,2024-10-28
A00048,100000028,110857.71,12.57,2026-01-02
A00072,100000010,116437.24,19.3,2019-10-15
A00072,100000010,121256.72,20.66,2020-01-24
A00072,100000010,126076.19,18.73,2021-05-28
A00028,100000058,192623.65,7.5,2023-06-20
A00028,100000058,255105.53,21.78,2024-07-23
A00028,100000058,317587.41,5.98,2024-08-31
A00036,100000028,194126.37,22.33,2018-05-14
A00036,100000028,184989.57,13.43,2019-11-16
A00036,100000028,175852.77,24.83,2023-10-07
A00132,100000058,19709.74,5.81,2021-06-04
A00132,100000058,16371.89,7.72,2021-06-06
A00132,100000058,13034.05,24.9,2022-04-05
A00132,100000058,9696.2,17.57,2022-08-10
A00132,100000058,6358.35,9.91,2022-08-27
A00032,100000081,191946.97,10.17,2019-04-16
A00032,100000081,174261.53,3.12,2020-11-01
A00118,100000069,41683.63,9.16,2019-01-08
A00118,100000069,40957.59,14.8,2020-10-28
A00118,100000069,40231.56,2.4,2021-02-19
A00040,100000034,11301.61,10.57,2018-02-10
A00040,100000034,8365.12,15.27,2020-01-10
A00040,100000034,5428.64,7.14,2023-05-01
A00040,100000034,2492.15,3.76,2024-12-24
A00054,100000076,124615.96,23.35,2018-09-13
A00054,100000076,158892.98,21.72,2019-01-25
A00054,100000076,193169.99,1.61,2019-12-10
A00054,100000076,227447.0,1.15,2022-06-06
A00054,100000076,261724.01,9.72,2026-01-09
A00125,100000074,34331.29,9.83,2018-08-12
A00125,100000074,36213.91,24.26,2021-06-16
A00125,100000074,38096.52,21.13,2024-01-03
A00024,100000084,58314.38,21.69,2019-05-26
A00024,100000084,52399.39,20.42,2022-01-24
A00024,100000084,46484.39,24.99,2022-06-22
A00024,100000084,40569.4,24.92,2023-11-23
A00102,100000054,170681.24,11.54,2019-12-15
A00102,100000054,165628.2,3.66,2021-12-31
A00102,100000054,160575.17,23.87,2025-06-17
A00124,100000072,176253.03,1.65,2019-12-18
A00124,100000072,186533.0,7.08,2022-01-09
A00012,100000000,155602.09,21.38,2018-09-07
A00012,100000000,155803.72,14.02,2019-03-14
A00012,100000000,156005.36,14.24,2019-11-05
A00012,100000000,156206.99,21.98,2022-04-24
A00012,100000000,156408.63,10.39,2024-01-11
A00113,100000058,10612.62,15.7,2019-09-16
A00113,100000058,20818.11,17.75,2025-09-15
A00001,100000014,123577.13,14.09,2019-03-11
A00001,100000014,173142.23,2.73,2020-02-03
A00001,100000014,222707.34,18.3,2023-11-21
A00001,100000014,272272.44,13.91,2025-08-17
A00001,100000014,321837.54,11.55,2025-10-24
A00035,100000081,126306.91,23.76,2019-06-26
A00035,100000081,133554.18,4.1,2020-10-16
A00035,100000081,140801.45,23.2,2021-09-20
A00054,100000048,94531.47,12.57,2021-09-15
A00054,100000048,241736.03,8.55,2023-02-19
A00054,100000048,388940.59,16.02,2025-10-03
A00102,100000017,83058.6,4.91,2020-01-31
A00102,100000017,85035.27,17.56,2023-03-22
A00102,100000017,87011.95,10.59,2023-11-13
A00102,100000017,88988.62,21.92,2023-11-29
A00102,100000017,90965.3,13.12,2025-12-05
A00046,100000033,48650.57,8.95,2018-03-02
A00046,100000033,52941.11,9.02,2019-11-03
A00046,100000033,57231.65,1.28,2023-05-24
A00046,100000033,61522.19,13.94,2025-05-05
A00122,100000008,179372.37,8.59,2019-06-08
A00122,100000008,174422.34,8.38,2024-03-30
A00122,100000008,169472.32,2.76,2024-07-21
A00122,100000008,164522.3,12.29,2025-05-16
A00010,100000083,175347.83,2.0,2020-12-15
A00010,100000083,183765.28,7.28,2024-03-11
A00010,100000083,192182.73,20.25,2024-04-05
A00069,100000014,197320.11,23.14,2019-09-17
A00069,100000014,198051.93,6.28,2021-06-30
A00069,100000014,198783.74,19.12,2023-03-06
A00037,100000098,17156.57,3.76,2018-12-31
A00037,100000098,3066.13,17.34,2023-10-27
A00095,100000045,108762.13,11.46,2020-07-07
A00095,100000045,133766.21,13.55,2024-08-07
A00095,100000045,158770.29,6.44,2025-08-29
A00030,100000026,67805.44,8.52,2019-04-30
A00030,100000026,64919.92,3.43,2019-12-15
A00030,100000026,62034.4,22.32,2020-11-28
A00030,100000026,59148.88,15.04,2022-07-13
A00030,100000026,56263.36,17.14,2023-09-07
A00095,100000054,21949.46,14.88,2018-03-08
A00095,100000054,78746.07,18.76,2018-08-21
A00095,100000054,135542.68,11.08,2021-03-15
A00095,100000054,192339.29,3.63,2023-11-27
A00023,100000024,130953.86,9.22,2022-03-22
A00023,100000024,131897.57,24.67,2024-10-08
A00023,100000024,132841.28,15.34,2025-04-14
A00023,100000024,133784.99,6.31,2025-07-02
A00099,100000043,34807.53,4.44,2024-05-13
A00099,100000043,24645.84,5.07,2025-06-02
A00066,100000019,20645.58,10.55,2021-03-06
A00066,100000019,20972.4,24.57,2022-06-19
A00066,100000019,21299.22,3.24,2024-07-25
A00066,100000019,21626.04,10.25,2025-11-10
A00005,100000069,164329.05,4.69,2018-01-04
A00005,100000069,161101.09,16.88,2018-03-16
A00005,100000069,157873.13,23.27,2022-10-22
A00005,100000069,154645.17,14.14,2023-02-14
A00109,100000062,193758.84,5.39,2021-11-16
A00109,100000062,195868.37,18.54,2021-12-29
A00109,100000062,197977.89,13.48,2022-07-27
A00109,100000062,200087.42,17.83,2024-01-30
A00109,100000062,202196.94,19.31,2024-07-01
A00118,100000007,186742.8,15.05,2018-05-19
A00118,100000007,184351.36,9.55,2022-04-23
A00118,100000007,181959.92,11.63,2023-01-03
A00118,100000007,179568.48,13.94,2023-04-02
A00026,100000029,44337.44,2.65,2022-08-01
A00026,100000029,51720.3,3.9,2024-01-29
A00088,100000009,27755.73,15.35,2024-07-04
A00088,100000009,180242.27,19.96,2025-10-03
A00060,100000058,84661.07,24.78,2018-08-24
A00060,100000058,90433.57,5.52,2021-01-23
A00060,100000058,96206.08,9.79,2022-05-24
A00060,100000058,101978.59,23.2,2024-06-23
A00098,100000012,32255.61,5.44,2021-10-04
A00098,100000012,38160.96,4.51,2023-01-30
A00098,100000012,44066.31,4.52,2026-02-13
A00126,100000010,74971.94,10.11,2018-03-19
A00126,100000010,80001.28,20.51,2023-08-15
A00126,100000010,85030.63,11.26,2025-03-06
A00126,100000010,90059.97,9.74,2025-12-08
A00042,100000040,150783.83,6.19,2023-03-04
A00042,100000040,150892.64,22.54,2024-10-05
A00041,100000072,17990.73,13.8,2019-05-18
A00041,100000072,102117.84,11.07,2023-06-21
A00055,100000032,37512.5,12.64,2021-04-17
A00055,100000032,41298.79,18.67,2022-01-11
A00055,100000032,45085.08,14.54,2024-09-04
A00055,100000032,48871.37,24.94,2025-02-14
A00055,100000032,52657.66,18.93,2025-03-11
A00092,100000060,116128.49,21.98,2020-08-08
A00092,100000060,119627.94,8.88,2021-07-01
A00092,100000060,123127.39,20.62,2024-02-22
A00092,100000060,126626.84,3.21,2024-05-25
A00036,100000087,82471.02,4.17,2023-03-16
A00036,100000087,86434.96,6.12,2024-03-13
A00036,100000087,90398.9,18.2,2024-03-25
A00036,100000087,94362.84,18.14,2026-03-15
A00077,100000027,54100.82,4.95,2018-04-05
A00077,100000027,83299.54,22.76,2020-03-04
A00077,100000027,112498.26,14.79,2023-05-10
A00077,100000027,141696.98,10.32,2025-04-28
A00077,100000027,170895.69,11.82,2025-09-03
A00058,100000096,34903.52,12.89,2018-12-29
A00058,100000096,38352.72,15.48,2024-06-07
A00122,100000010,159066.5,16.46,2018-12-22
A00122,100000010,154296.73,19.4,2020-04-07
A00122,100000010,149526.96,9.67,2021-09-09
A00122,100000010,144757.18,2.19,2022-06-28
A00122,100000010,139987.41,2.39,2025-06-23
A00049,100000096,27081.42,21.05,2021-12-01
A00049,100000096,174959.19,3.55,2022-11-28
A00049,100000096,322836.95,23.06,2025-09-27
A00079,100000085,123539.41,18.73,2019-07-21
A00079,100000085,121930.15,5.54,2020-07-24
A00079,100000085,120320.89,19.8,2023-01-29
A00079,100000085,118711.63,15.29,2024-08-15
A00127,100000074,109792.14,8.99,2019-07-29
A00127,100000074,126586.37,9.0,2024-04-10
A00082,100000008,93225.71,4.82,2019-02-22
A00082,100000008,89634.28,12.71,2020-07-27
A00082,100000008,86042.85,10.76,2020-08-12
A00082,100000008,82451.42,22.91,2024-07-22
A00082,100000008,78859.99,9.38,2025-05-11
A00081,100000031,128291.54,16.76,2018-03-04
A00081,100000031,108815.31,4.86,2020-09-29
A00131,100000085,85851.7,24.92,2018-05-28
A00131,100000085,107800.66,12.8,2019-11-20
A00131,100000085,129749.61,15.09,2021-01-12
A00086,100000007,180120.59,5.17,2020-08-09
A00086,100000007,176189.11,1.4,2020-09-16
A00086,100000007,172257.64,12.07,2024-03-12
A00086,100000007,168326.17,14.34,2024-10-18
A00002,100000028,109218.9,12.68,2018-07-13
A00002,100000028,147895.06,19.25,2020-02-08
A00002,100000028,186571.21,3.02,2021-10-26
A00002,100000028,225247.37,8.69,2023-08-28
A00002,100000028,263923.52,2.35,2025-03-22
A00111,100000021,57795.21,10.51,2020-02-17
A00111,100000021,63555.19,1.12,2020-03-10
A00112,100000049,48284.57,16.96,2018-11-09
A00112,100000049,76518.22,0.98,2020-04-12
A00112,100000049,104751.87,3.05,2021-04-16
A00112,100000049,132985.51,20.1,2022-12-29
A00086,100000080,145842.05,20.84,2021-01-16
A00086,100000080,150584.67,10.23,2021-07-11
A00086,100000080,155327.29,16.87,2023-11-14
A00086,100000080,160069.91,5.52,2025-03-11
A00010,100000069,179785.48,2.59,2020-04-02
A00010,100000069,203426.02,5.59,2025-08-14
A00031,100000087,87177.79,20.53,2018-05-27
A00031,100000087,92413.41,8.87,2020-07-03
A00031,100000087,97649.03,6.86,2021-08-01
A00031,100000087,102884.66,9.8,2022-04-21
A00036,100000071,72312.47,9.39,2019-01-31
A00036,100000071,151203.69,21.6,2019-04-16
A00036,100000071,230094.91,5.88,2022-04-05
A00036,100000071,308986.13,24.38,2024-04-27
A00065,100000064,197146.63,4.96,2019-08-16
A00065,100000064,235121.21,12.38,2021-07-27
A00065,100000064,273095.79,13.06,2021-10-19
A00065,100000064,311070.37,18.67,2025-05-03
A00065,100000064,349044.95,17.62,2025-07-24
A00072,100000062,196958.43,4.71,2021-07-25
A00072,100000062,252689.51,7.17,2021-07-28
A00072,100000062,308420.59,0.95,2022-11-17
A00072,100000062,364151.68,22.9,2024-12-16
A00118,100000094,113064.71,20.83,2018-02-10
A00118,100000094,163664.14,5.56,2021-10-11
A00118,100000094,214263.56,0.77,2023-09-13
A00118,100000094,264862.99,3.85,2023-09-21
A00118,100000094,315462.42,22.55,2026-03-01
A00058,100000034,122100.79,4.8,2018-06-17
A00058,100000034,124301.28,22.9,2019-09-02
A00058,100000034,126501.77,10.76,2019-10-08
A00058,100000034,128702.25,9.89,2020-01-01
A00099,100000093,37425.26,2.53,2018-05-10
A00099,100000093,42185.93,15.28,2022-05-19
A00099,100000093,46946.6,6.51,2025-05-05
A00030,100000085,74356.18,7.78,2018-05-29
A00030,100000085,78737.1,14.38,2021-08-12
A00030,100000085,83118.02,12.16,2023-08-21
A00045,100000031,99332.21,13.73,2019-02-10
A00045,100000031,123226.0,4.47,2020-01-28
A00045,100000031,147119.78,21.12,2023-10-18
A00045,100000031,171013.57,21.24,2025-04-24
A00045,100000031,194907.36,23.9,2025-06-04
A00058,100000098,72154.83,10.61,2018-06-03
A00058,100000098,70670.23,17.77,2019-04-27
A00058,100000098,69185.63,15.16,2022-03-05
A00058,100000098,67701.03,11.76,2023-07-20
A00058,100000098,66216.43,2.36,2024-02-27
A00114,100000089,193701.38,3.03,2018-04-18
A00114,100000089,183806.46,8.21,2018-06-21
A00114,100000089,173911.53,20.28,2021-06-06
A00009,100000003,139659.25,2.62,2018-11-26
A00009,100000003,139943.25,23.98,2020-11-06
A00009,100000003,140227.26,19.08,2025-11-04
A00009,100000003,140511.27,16.15,2026-03-24
A00107,100000001,53685.26,5.92,2019-12-11
A00107,100000001,53579.51,24.7,2021-05-08
A00107,100000001,53473.76,23.63,2022-02-17
A00107,100000001,53368.01,1.47,2022-10-17
A00107,100000001,53262.26,17.79,2024-08-18
A00001,100000094,40212.19,22.93,2019-02-05
A00001,100000094,42930.0,1.33,2019-12-12
A00110,100000051,27479.99,19.99,2018-05-17
A00110,100000051,26436.83,18.75,2019-09-21
A00110,100000051,25393.67,1.84,2025-06-28
A00110,100000051,24350.5,11.65,2026-01-09
A00024,100000008,76115.96,12.29,2019-09-07
A00024,100000008,76924.99,22.18,2021-03-28
A00024,100000008,77734.02,13.49,2021-07-20
A00024,100000008,78543.05,11.31,2022-01-06
A00016,100000011,109988.29,18.58,2018-02-08
A00016,100000011,113221.39,13.24,2018-12-30
A00016,100000011,116454.5,10.96,2024-12-19
A00081,100000015,9147.54,13.46,2018-11-07
A00081,100000015,12894.55,23.51,2019-06-30
A00081,100000015,16641.57,20.07,2020-01-09
A00081,100000015,20388.59,24.95,2021-02-05
A00081,100000015,24135.6,9.09,2026-01-20
A00096,100000059,98575.75,21.91,2018-11-14
A00096,100000059,100275.82,24.61,2019-04-22
A00096,100000059,101975.89,19.32,2020-08-15
A00096,100000059,103675.96,10.74,2023-07-26
A00101,100000024,62915.56,18.03,2018-12-06
A00101,100000024,66443.78,14.93,2019-01-24
A00101,100000024,69972.0,7.29,2021-03-11
A00101,100000024,73500.22,22.8,2023-08-13
A00101,100000024,77028.43,1.6,2025-03-09
A00098,100000007,160607.92,14.92,2019-02-03
A00098,100000007,158197.74,24.57,2020-08-21
A00098,100000007,155787.57,22.16,2023-08-04
A00098,100000007,153377.4,15.22,2024-02-13
A00098,100000007,150967.22,22.64,2025-11-04
A00020,100000068,188832.7,15.39,2020-02-11
A00020,100000068,190329.16,13.06,2022-05-14
A00020,100000068,191825.63,6.15,2022-05-27
A00020,100000068,193322.1,4.82,2024-03-23
A00020,100000068,194818.56,5.9,2025-02-24
A00126,100000005,166110.11,15.93,2024-04-25
A00126,100000005,172125.5,5.8,2024-12-28
A00126,100000005,178140.9,13.2,2025-09-01
A00006,100000003,82267.19,17.55,2020-11-09
A00006,100000003,140343.89,4.27,2022-05-16
A00006,100000003,198420.58,20.49,2022-11-12
A00006,100000003,256497.27,6.0,2023-03-29
A00006,100000003,314573.97,5.98,2023-03-30
A00017,100000045,118116.81,22.0,2019-08-03
A00017,100000045,109946.55,7.01,2023-07-24
A00017,100000045,101776.28,3.67,2024-07-04
A00047,100000074,171177.74,8.56,2020-07-09
A00047,100000074,152594.63,23.32,2021-05-03
A00087,100000004,5991.02,1.7,2020-08-12
A00087,100000004,8600.54,13.55,2020-09-01
A00087,100000004,11210.07,24.07,2020-09-10
A00087,100000004,13819.59,3.18,2021-11-19
A00130,100000040,101553.57,15.01,2019-08-16
A00130,100000040,153074.99,20.7,2020-03-06
A00130,100000040,204596.4,9.02,2020-08-30
A00130,100000040,256117.81,17.11,2021-02-11
A00069,100000002,148112.43,21.77,2022-11-08
A00069,100000002,148962.85,6.51,2023-06-20
A00031,100000089,70131.73,23.29,2022-09-01
A00031,100000089,64905.53,3.09,2025-03-03
A00031,100000089,59679.33,17.63,2025-11-03
A00104,100000009,175009.49,20.73,2019-07-11
A00104,100000009,168732.79,3.66,2019-12-01
A00104,100000009,162456.08,8.71,2023-08-17
A00104,100000009,156179.38,18.72,2023-12-21
A00061,100000092,103956.21,7.53,2019-08-12
A00061,100000092,94083.93,15.61,2023-10-31
A00061,100000092,84211.64,24.54,2024-07-31
A00018,100000077,128631.11,19.61,2018-12-26
A00018,100000077,214229.07,3.12,2023-08-27
A00018,100000077,299827.02,19.15,2025-12-23
A00057,100000087,168823.69,4.9,2019-08-09
A00057,100000087,166666.72,18.97,2021-06-01
A00057,100000087,164509.74,19.83,2021-06-10
A00080,100000066,155316.55,4.58,2023-03-03
A00080,100000066,173208.47,19.39,2026-02-11
A00104,100000031,72447.2,1.62,2020-06-04
A00104,100000031,77283.82,21.85,2024-09-14
A00119,100000007,91961.87,15.06,2018-10-12
A00119,100000007,192622.18,9.9,2019-11-18
A00119,100000007,293282.49,2.11,2019-12-05
A00022,100000080,5200.75,11.98,2019-07-24
A00022,100000080,1790.13,23.64,2023-10-28
A00022,100000080,-1620.49,3.0,2024-11-11
A00022,100000080,-5031.1,21.43,2026-01-05
A00022,100000080,-8441.72,13.41,2026-03-14
A00092,100000073,63183.01,19.43,2024-01-14
A00092,100000073,318368.22,6.14,2025-10-15
A00063,100000064,182357.28,24.13,2018-01-21
A00063,100000064,185930.88,19.12,2020-09-15
A00063,100000064,189504.48,11.34,2022-04-12
A00063,100000064,193078.08,8.14,2025-08-27
A00063,100000064,196651.68,8.36,2025-12-06
A00016,100000013,76862.64,12.09,2020-03-02
A00016,100000013,80506.22,24.22,2020-03-03
A00016,100000013,84149.8,5.05,2020-07-22
A00016,100000013,87793.38,21.78,2023-01-30
A00016,100000013,91436.97,19.53,2023-06-04
A00056,100000001,108419.11,20.02,2019-08-14
A00056,100000001,98776.34,7.71,2020-11-16
A00056,100000001,89133.58,22.84,2022-09-06
A00131,100000016,27875.1,17.3,2019-01-13
A00131,100000016,24126.95,11.04,2019-06-11
A00131,100000016,20378.81,5.41,2025-08-13
A00131,100000016,16630.67,12.54,2026-01-25
A00131,100000016,12882.53,2.07,2026-02-11
A00042,100000083,89483.12,4.16,2018-04-27
A00042,100000083,94326.63,11.88,2020-10-10
A00042,100000083,99170.14,17.17,2021-09-29
A00042,100000083,104013.66,10.19,2024-08-30
A00042,100000083,108857.17,24.38,2024-12-23
A00020,100000015,172723.87,1.47,2018-06-15
A00020,100000015,175522.38,12.27,2019-12-30
A00020,100000015,178320.89,3.07,2021-08-17
A00020,100000015,181119.4,6.43,2022-04-17
A00020,100000015,183917.91,24.67,2023-08-21
A00123,100000008,125540.37,14.21,2019-08-15
A00123,100000008,129589.67,0.74,2021-08-26
A00123,100000008,133638.97,8.5,2022-08-23
A00130,100000033,177094.03,20.7,2018-01-02
A00130,100000033,168744.2,9.27,2024-03-22
A00130,100000033,160394.37,8.39,2025-10-19
A00098,100000082,139445.67,5.4,2018-03-31
A00098,100000082,151469.14,4.6,2025-12-28
A00075,100000070,129103.9,1.27,2021-08-21
A00075,100000070,346917.1,23.44,2023-03-11
A00068,100000076,189733.34,19.69,2019-07-07
A00068,100000076,190986.39,15.5,2019-12-17
A00068,100000076,192239.43,12.37,2021-07-11
A00068,100000076,193492.48,16.69,2021-12-10
A00068,100000076,194745.53,14.05,2024-03-20
