declaration_id,agent_id,role,institution,declaration_type,declaration_date,gross_salary,side_income_consulting,side_income_board_memberships,assets_in_real_estate,assets_in_vehicles,assets_in_stocks
D000044,A0007,MP,Parliament,Regular,2024-02-13,51183.36,12885.8,11613.15,85957.34,2509.73,72930.3
D000045,A0007,MP,Parliament,Regular,2018-06-13,65730.64,10526.61,8270.02,20558.72,46806.97,176826.94
D000046,A0007,MP,Parliament,Regular,2022-07-23,66993.56,18523.03,15731.32,47347.47,9750.11,159977.41
D000047,A0007,MP,Parliament,Exceptional,2022-08-16,45652.86,18331.6,9182.01,186163.18,48134.11,172812.81
D000048,A0007,MP,Parliament,Exceptional,2020-10-13,52453.06,19084.84,6709.49,174433.36,51515.6,44486.74
D000049,A0007,MP,Parliament,Exceptional,2023-03-01,54781.04,19576.45,15130.64,44584.71,39601.99,79693.2
D000050,A0007,MP,Parliament,Regular,2024-02-14,65589.27,8441.45,14049.39,70229.23,30564.34,389122.49
D000051,A0008,MP,Parliament,Initial,2024-09-09,63114.99,552.01,17540.77,196778.7,34835.38,196710.11
D000052,A0008,MP,Parliament,Regular,2022-11-15,63348.9,710.12,16425.07,196847.17,6938.75,179900.95
D000053,A0008,MP,Parliament,Regular,2020-02-18,61626.53,667.26,8800.05,185115.03,32307.12,143886.0
D000054,A0008,MP,Parliament,Regular,2025-07-09,60534.25,514.09,25414.37,184154.17,37389.32,132677.5
D000055,A0008,MP,Parliament,Exceptional,2021-05-15,66495.5,644.14,14491.88,139441.68,33264.75,38368.02
D000056,A0008,MP,Parliament,Exceptional,2025-06-16,80167.51,649.89,24606.29,123102.98,18056.99,109587.44
D000057,A0008,MP,Parliament,Exceptional,2018-01-02,60081.52,392.03,22553.2,121332.31,19334.95,88357.2
D000058,A0008,MP,Parliament,Regular,2025-07-10,88700.31,558.18,22693.11,191966.4,44157.69,353009.96
D000059,A0009,MP,Parliament,Initial,2019-08-27,96385.38,12385.22,1867.74,488482.02,14092.12,62083.89
D000060,A0009,MP,Parliament,Regular,2018-04-11,88083.14,18378.87,2075.58,153697.87,27324.97,177227.38
D000061,A0009,MP,Parliament,Regular,2024-06-15,92369.06,14817.11,1857.24,48796.89,39363.48,1108.96
D000062,A0009,MP,Parliament,Regular,2019-03-13,109255.35,8903.0,2435.74,139182.36,27872.99,111481.16
D000063,A0009,MP,Parliament,Regular,2024-06-16,103403.7,7844.04,1801.71,106226.38,33535.52,499627.67
D000064,A0010,MP,Parliament,Initial,2023-04-29,74257.34,16300.13,17840.41,304282.86,54411.28,89182.72
D000065,A0010,MP,Parliament,Regular,2023-01-18,72605.67,12180.1,20296.34,153162.74,31277.99,125349.69
D000066,A0010,MP,Parliament,Regular,2021-01-29,76630.74,19780.94,13103.66,67169.51,53581.61,16115.53
D000067,A0010,MP,Parliament,Regular,2019-09-10,71983.47,19461.54,21523.01,12845.77,24455.96,108522.23
D000068,A0010,MP,Parliament,Exceptional,2020-04-27,90330.02,14498.59,22653.67,189212.41,1171.92,176131.33
D000069,A0010,MP,Parliament,Exceptional,2024-06-16,73528.92,8246.17,15195.72,150695.03,51206.88,190686.07
D000070,A0010,MP,Parliament,Exceptional,2022-09-13,79389.29,20124.7,23190.18,179562.27,29293.77,54587.06
D000071,A0010,MP,Parliament,Regular,2024-06-17,95894.83,14488.49,20853.18,159628.46,43450.88,611250.23
D000072,A0011,MP,Parliament,Initial,2023-03-07,128072.2,10682.47,18138.58,583344.28,39779.99,16789.49
D000073,A0011,MP,Parliament,Regular,2020-01-15,117197.0,9391.0,12908.51,65369.16,45673.78,75825.24
D000074,A0011,MP,Parliament,Regular,2022-09-23,124957.67,6216.2,9420.87,107883.81,59994.47,69992.07
D000075,A0011,MP,Parliament,Regular,2025-04-16,117901.41,15567.41,9799.51,6206.0,14837.0,167845.77
D000076,A0011,MP,Parliament,Exceptional,2020-09-04,110540.46,12492.71,19298.89,43592.91,41967.9,153379.62
D000077,A0011,MP,Parliament,Exceptional,2019-11-19,141256.76,15636.31,22099.27,155558.38,9825.95,62207.78
D000078,A0011,MP,Parliament,Exceptional,2024-06-28,104102.1,8673.71,21355.4,191634.57,23799.27,143002.94
D000079,A0011,MP,Parliament,Regular,2025-04-17,133912.02,12718.71,20446.57,20380.26,46348.85,664708.91
D000080,A0012,MP,Parliament,Initial,2021-10-29,42105.51,19676.89,15652.71,292058.47,25702.68,74114.18
D000081,A0012,MP,Parliament,Regular,2018-02-21,48626.5,26019.36,9478.32,192157.51,38135.11,165741.46
D000082,A0012,MP,Parliament,Regular,2025-12-07,39827.49,13304.27,15993.1,130091.48,36954.74,183923.53
D000083,A0012,MP,Parliament,Regular,2023-06-04,43767.08,26086.33,17100.19,64460.92,14729.71,186924.38
D000084,A0012,MP,Parliament,Exceptional,2023-01-21,38818.4,18982.46,17379.7,75797.86,1722.0,170190.57
D000085,A0012,MP,Parliament,Exceptional,2020-01-15,43948.67,16820.29,11870.27,55931.7,35769.3,176021.47
D000086,A0012,MP,Parliament,Exceptional,2024-03-26,33898.11,28493.36,9166.43,144014.93,29314.67,151632.93
D000087,A0012,MP,Parliament,Regular,2025-12-08,59552.58,22547.8,15509.04,158586.57,5583.2,398929.01
D000088,A0013,MP,Parliament,Initial,2025-11-18,60620.6,11631.11,9465.21,267421.9,25530.23,149187.09
D000089,A0013,MP,Parliament,Regular,2023-02-02,59485.48,8739.66,5874.64,38516.86,7173.28,107172.79
D000090,A0013,MP,Parliament,Regular,2025-09-27,57925.71,8332.35,9315.65,144917.0,58596.42,104927.37
D000091,A0013,MP,Parliament,Regular,2021-03-05,72390.29,15499.95,7536.64,72176.21,18136.06,141603.7
D000092,A0013,MP,Parliament,Exceptional,2018-07-06,78027.66,12251.74,11333.81,25255.9,52107.67,98175.74
D000093,A0013,MP,Parliament,Exceptional,2018-02-20,65896.54,11275.16,8901.73,36872.73,3082.6,188212.72
D000094,A0013,MP,Parliament,Exceptional,2023-05-11,51954.5,6575.57,9387.09,115404.23,41187.06,30345.4
D000095,A0013,MP,Parliament,Regular,2025-11-19,90123.76,16854.94,5538.86,49638.19,33484.38,450228.81
D000096,A0014,MP,Parliament,Initial,2024-05-18,91841.84,15513.87,7607.56,397425.17,17841.19,117705.03
D000097,A0014,MP,Parliament,Regular,2024-12-18,84317.15,22651.94,4558.71,152547.42,37530.9,52929.23
D000098,A0014,MP,Parliament,Regular,2018-11-29,86984.98,10453.46,4374.84,535.14,27030.22,118762.24
D000099,A0014,MP,Parliament,Regular,2021-04-07,83556.96,12226.56,5954.58,171921.35,4270.79,46684.76
D000100,A0014,MP,Parliament,Exceptional,2025-01-04,100557.15,20228.62,5308.7,22955.26,13488.57,29797.88
D000101,A0014,MP,Parliament,Exceptional,2020-12-24,111433.13,8864.78,5066.05,61522.36,44937.46,113841.41
D000102,A0014,MP,Parliament,Exceptional,2021-03-28,93639.8,15028.26,6117.17,80501.7,16334.77,107996.31
D000103,A0014,MP,Parliament,Regular,2025-01-05,115964.58,17034.8,10570.12,146906.78,36222.82,446484.04
D000104,A0015,MP,Parliament,Initial,2019-12-19,97429.84,17210.34,11742.46,490434.58,45885.62,164284.25
D000105,A0015,MP,Parliament,Regular,2023-04-12,102855.62,16216.09,9137.47,199389.09,26153.1,162848.99
D000106,A0015,MP,Parliament,Regular,2019-01-09,101424.76,15632.98,9641.24,20919.98,9649.49,82329.02
D000107,A0015,MP,Parliament,Regular,2023-07-23,96111.16,24872.27,15424.49,110019.32,27289.55,62903.43
D000108,A0015,MP,Parliament,Exceptional,2022-07-14,120077.92,22802.44,5884.75,173873.5,27718.58,10840.82
D000109,A0015,MP,Parliament,Exceptional,2023-10-25,95567.92,21623.81,13215.07,151998.11,12213.49,109843.93
D000110,A0015,MP,Parliament,Exceptional,2021-03-25,99286.66,20622.29,7297.07,194629.36,36532.3,47859.49
D000111,A0015,MP,Parliament,Regular,2023-10-26,106688.29,18085.29,12356.02,18641.84,59535.43,497019.44
D000112,A0016,MP,Parliament,Initial,2023-04-19,41746.61,16642.86,9967.51,309427.42,30532.32,54684.98
D000113,A0016,MP,Parliament,Regular,2020-09-25,43292.74,10728.69,6883.67,119875.52,44777.55,27301.67
D000114,A0016,MP,Parliament,Regular,2018-10-13,41031.67,21469.4,9119.7,186849.68,30464.26,164109.89
D000115,A0016,MP,Parliament,Regular,2021-03-04,46665.0,22259.43,10764.15,131988.15,51915.64,89309.48
D000116,A0016,MP,Parliament,Exceptional,2021-09-23,44917.63,17365.66,9522.41,64355.47,11319.14,139499.69
D000117,A0016,MP,Parliament,Exceptional,2024-05-31,41391.16,22567.94,9078.16,63635.27,28378.58,182686.03
D000118,A0016,MP,Parliament,Exceptional,2022-04-11,41456.03,19367.11,13164.56,196163.63,29719.72,7403.92
D000119,A0016,MP,Parliament,Regular,2024-06-01,54327.99,18143.72,13652.5,174838.07,26418.37,329644.56
D000120,A0017,MP,Parliament,Initial,2025-10-08,102244.38,8199.57,13095.63,413246.49,28169.44,193840.73
D000121,A0017,MP,Parliament,Regular,2022-06-17,111952.59,11083.9,17709.76,171868.44,22800.56,63332.23
D000122,A0017,MP,Parliament,Regular,2026-01-22,119240.63,8100.75,13632.76,123491.89,14086.21,136879.91
D000123,A0017,MP,Parliament,Regular,2021-03-23,122614.3,10222.95,12230.94,19688.63,38024.87,174515.85
D000124,A0017,MP,Parliament,Exceptional,2025-10-13,97104.87,4337.14,10795.7,11223.85,21507.8,86137.36
D000125,A0017,MP,Parliament,Exceptional,2020-09-27,108949.89,8740.15,16926.35,33996.73,4738.1,174167.92
D000126,A0017,MP,Parliament,Exceptional,2024-12-13,116718.84,8180.44,14184.62,46437.69,38274.28,91914.1
D000127,A0017,MP,Parliament,Regular,2026-01-23,143152.81,11470.45,12640.6,57526.33,32795.89,795727.38
D000128,A0018,MP,Parliament,Initial,2023-06-03,128765.17,5983.08,19240.58,782369.29,27410.15,60424.33
D000129,A0018,MP,Parliament,Regular,2019-03-13,125051.8,6413.4,20680.01,198538.41,17713.85,195588.9
D000130,A0018,MP,Parliament,Regular,2025-05-20,131178.45,3039.99,26264.69,155662.32,58416.17,182123.39
D000131,A0018,MP,Parliament,Regular,2023-07-28,148060.85,8393.88,24546.0,46023.68,48115.92,43800.91
D000132,A0018,MP,Parliament,Exceptional,2020-10-23,146648.36,7304.92,22303.33,167667.42,37694.89,180680.74
D000133,A0018,MP,Parliament,Exceptional,2025-04-01,105550.26,7709.87,10262.24,72972.25,7884.71,181925.56
D000134,A0018,MP,Parliament,Exceptional,2021-08-31,151136.89,4042.41,12163.12,107881.55,58289.37,106170.47
D000135,A0018,MP,Parliament,Regular,2025-05-21,199340.35,7960.33,14564.54,164937.96,28910.87,941665.7
D000136,A0019,MP,Parliament,Initial,2022-06-16,63871.53,2303.39,19257.87,370045.97,57990.01,172028.12
D000137,A0019,MP,Parliament,Regular,2024-04-01,64493.16,2972.95,9896.98,107314.46,27287.16,134565.68
D000138,A0019,MP,Parliament,Regular,2025-07-16,62507.77,2029.35,21926.03,74294.73,40490.19,94295.37
D000139,A0019,MP,Parliament,Regular,2024-12-12,74427.6,2444.84,27254.81,44273.44,3793.02,164771.07
D000140,A0019,MP,Parliament,Regular,2025-07-17,75452.33,2092.16,12320.74,189252.31,18261.88,228887.93
D000141,A0020,MP,Parliament,Initial,2026-02-24,118725.93,2713.28,9072.88,445698.55,44588.41,189194.82
D000142,A0020,MP,Parliament,Regular,2019-09-25,138389.81,3133.63,12100.43,123130.44,56343.18,55948.03
D000143,A0020,MP,Parliament,Regular,2025-09-28,120050.79,2559.66,13160.71,171090.04,5961.28,137136.05
D000144,A0020,MP,Parliament,Regular,2024-02-09,138969.75,3106.24,5085.8,55176.29,58092.41,189802.16
D000145,A0020,MP,Parliament,Regular,2026-02-25,125256.34,1932.14,10338.48,194218.66,3034.71,686498.6
D000146,A0021,MP,Parliament,Initial,2019-08-28,108697.81,4104.11,16596.36,408425.4,35182.99,162610.6
D000147,A0021,MP,Parliament,Regular,2024-09-07,97920.49,5575.05,10699.47,25998.43,15039.25,34899.42
D000148,A0021,MP,Parliament,Regular,2025-05-31,126082.33,2592.99,14243.7,157686.31,35331.18,3156.22
D000149,A0021,MP,Parliament,Regular,2020-12-22,99536.73,5096.15,17029.28,149133.06,28574.76,155603.41
D000150,A0021,MP,Parliament,Exceptional,2019-03-23,111524.25,2961.32,18506.71,145448.6,54525.1,131780.61
D000151,A0021,MP,Parliament,Exceptional,2021-05-20,111852.36,6008.53,9307.66,95796.38,24097.04,137219.5
D000152,A0021,MP,Parliament,Exceptional,2023-07-02,125676.48,3872.49,23222.73,64422.36,8900.03,25238.32
D000153,A0021,MP,Parliament,Regular,2025-06-01,149414.98,4454.46,20117.32,76180.88,35843.51,657846.44
D000154,A0022,MP,Parliament,Initial,2022-10-28,73019.93,15861.92,2288.28,424138.6,52662.37,110267.05
D000155,A0022,MP,Parliament,Regular,2023-01-24,85172.44,14494.84,3037.51,79746.04,43776.75,62509.67
D000156,A0022,MP,Parliament,Regular,2021-07-04,80287.78,13868.09,1493.42,184597.01,4028.0,166354.38
D000157,A0022,MP,Parliament,Regular,2019-01-17,75178.62,19741.57,1996.86,26023.09,3598.86,191324.92
D000158,A0022,MP,Parliament,Exceptional,2025-07-07,62878.61,13539.71,2666.63,150056.85,52085.53,144212.14
D000159,A0022,MP,Parliament,Exceptional,2021-03-24,80336.9,13508.75,2466.58,42547.76,39404.18,44848.97
D000160,A0022,MP,Parliament,Exceptional,2019-03-20,71198.6,16754.4,1407.03,55713.64,13569.55,85822.48
D000161,A0022,MP,Parliament,Regular,2025-07-08,97596.94,20103.92,2566.82,134995.34,33404.39,494837.46
D000162,A0023,MP,Parliament,Initial,2019-08-10,99347.12,579.06,5465.41,295693.15,55292.25,70204.68
D000163,A0023,MP,Parliament,Regular,2024-05-08,109004.0,329.83,6782.4,194362.06,5505.46,106096.54
D000164,A0023,MP,Parliament,Regular,2022-03-21,101925.15,486.93,4755.19,144319.19,46610.14,113518.71
D000165,A0023,MP,Parliament,Regular,2018-12-14,115739.66,379.62,6856.0,9952.5,4894.89,88622.59
D000166,A0023,MP,Parliament,Exceptional,2024-10-22,101435.6,447.71,6858.78,22763.5,25794.82,56649.29
D000167,A0023,MP,Parliament,Exceptional,2025-08-11,108940.78,594.66,4418.34,44103.69,59066.74,10956.39
D000168,A0023,MP,Parliament,Exceptional,2020-04-17,94450.27,411.85,3482.75,51103.9,19687.34,1545.98
D000169,A0023,MP,Parliament,Regular,2025-08-12,143875.34,391.27,4810.69,140734.25,30015.74,662427.38
D000170,A0024,MP,Parliament,Initial,2024-06-06,37207.55,17235.29,846.05,215258.09,55269.75,172422.0
D000171,A0024,MP,Parliament,Regular,2022-07-15,41406.41,15816.72,520.46,4171.31,19486.09,160264.43
D000172,A0024,MP,Parliament,Regular,2024-12-06,38622.52,20503.27,729.17,87342.36,6351.79,87135.31
D000173,A0024,MP,Parliament,Regular,2022-06-29,39335.4,15438.8,685.53,67902.66,19984.12,33626.54
D000174,A0024,MP,Parliament,Exceptional,2019-04-13,39637.29,11959.63,1079.75,70219.95,57493.4,129088.6
D000175,A0024,MP,Parliament,Exceptional,2019-08-28,34161.53,11141.65,589.92,120479.8,45612.92,131101.8
D000176,A0024,MP,Parliament,Exceptional,2019-12-27,47463.66,19440.52,815.55,112747.1,34768.09,136226.7
D000177,A0024,MP,Parliament,Regular,2024-12-07,56898.86,19699.79,1257.67,64641.65,58258.38,288466.97
D000178,A0025,MP,Parliament,Initial,2018-06-04,76892.11,12627.7,15926.59,388962.05,21116.53,14838.13
D000179,A0025,MP,Parliament,Regular,2018-08-22,77708.8,9938.97,18230.64,195473.71,5417.79,118815.96
D000180,A0025,MP,Parliament,Regular,2022-04-24,79876.56,13313.59,20574.26,179175.35,26984.02,161963.18
D000181,A0025,MP,Parliament,Regular,2025-04-23,73545.14,13953.68,15948.37,191544.47,27031.39,162193.36
D000182,A0025,MP,Parliament,Regular,2025-04-24,122214.73,7378.73,18253.9,7828.43,42457.3,537257.7
D000183,A0026,MP,Parliament,Initial,2025-01-28,90980.54,7277.96,18358.74,310589.27,46467.89,135779.54
D000184,A0026,MP,Parliament,Regular,2025-04-05,91016.46,6038.46,19422.87,77312.84,15119.75,170313.25
D000185,A0026,MP,Parliament,Regular,2024-10-04,105717.92,6065.17,19877.73,28285.68,20989.25,193539.3
D000186,A0026,MP,Parliament,Regular,2025-10-31,99954.91,4577.48,22192.66,16943.8,33535.32,128698.65
D000187,A0026,MP,Parliament,Exceptional,2019-06-08,103268.21,9672.11,22742.34,137082.89,31583.6,129204.96
D000188,A0026,MP,Parliament,Exceptional,2022-10-01,95915.71,3771.66,14849.76,190233.86,20503.94,153231.24
D000189,A0026,MP,Parliament,Exceptional,2020-02-26,83089.94,4640.17,10596.02,168885.68,6068.45,154174.94
D000190,A0026,MP,Parliament,Regular,2025-11-01,136568.33,10070.38,9872.36,67352.87,45978.46,532652.82
D000191,A0027,MP,Parliament,Initial,2025-08-02,46224.72,16626.9,15421.96,270783.87,9932.35,87534.68
D000192,A0027,MP,Parliament,Regular,2026-01-26,44896.18,15699.1,12105.12,149707.3,26935.68,106802.23
D000193,A0027,MP,Parliament,Regular,2021-06-21,54992.58,21355.1,21652.03,38803.24,40698.41,114083.88
D000194,A0027,MP,Parliament,Regular,2022-12-10,48004.56,12998.44,13600.2,105491.96,57976.09,163378.25
D000195,A0027,MP,Parliament,Regular,2026-01-27,50063.18,12470.23,17599.21,174823.39,33272.44,374692.0
D000196,A0028,MP,Parliament,Initial,2020-06-28,115116.6,5701.26,15262.34,503058.75,54318.37,29469.73
D000197,A0028,MP,Parliament,Regular,2023-01-22,134155.62,8155.49,13963.46,79290.79,22437.69,77233.22
D000198,A0028,MP,Parliament,Regular,2018-12-01,116552.55,3011.33,21837.75,167835.26,38997.64,158276.13
D000199,A0028,MP,Parliament,Regular,2019-07-18,104927.74,8080.94,14841.93,166222.1,45530.47,93822.03
D000200,A0028,MP,Parliament,Exceptional,2018-11-21,93187.12,4080.13,9913.19,188045.19,36532.81,84650.95
D000201,A0028,MP,Parliament,Exceptional,2021-03-26,105771.45,3545.32,11270.31,127790.35,37368.63,12561.43
D000202,A0028,MP,Parliament,Exceptional,2023-08-10,126440.57,2944.33,15497.01,48387.63,8614.61,85847.78
D000203,A0028,MP,Parliament,Regular,2023-08-11,157581.48,4222.15,13988.96,132874.26,5136.84,485596.51
D000204,A0029,MP,Parliament,Initial,2022-03-10,82605.94,10146.55,19766.63,450667.83,23427.22,94027.02
D000205,A0029,MP,Parliament,Regular,2020-11-04,92865.19,8696.55,11218.74,48225.18,39426.26,20732.77
D000206,A0029,MP,Parliament,Regular,2024-07-11,92564.59,8447.19,10759.68,109202.75,48810.53,35017.83
D000207,A0029,MP,Parliament,Regular,2025-09-05,85859.53,12129.08,22370.6,162299.54,3786.03,155238.08
D000208,A0029,MP,Parliament,Exceptional,2021-04-16,74411.06,13100.31,27392.41,63119.16,18604.55,79644.81
D000209,A0029,MP,Parliament,Exceptional,2024-02-03,85637.57,5444.85,22670.36,57222.18,51728.31,9560.81
D000210,A0029,MP,Parliament,Exceptional,2025-05-09,79794.23,6336.27,17157.81,177897.3,44598.46,178927.5
D000211,A0029,MP,Parliament,Regular,2025-09-06,101769.44,14953.22,19691.58,99504.68,55458.63,610037.5
D000212,A0030,MP,Parliament,Initial,2025-05-31,102708.13,1578.54,12049.07,317980.31,32728.46,64242.29
D000213,A0030,MP,Parliament,Regular,2021-04-25,101881.2,1740.53,11158.83,137952.96,21092.82,8471.03
D000214,A0030,MP,Parliament,Regular,2021-12-15,111382.39,1475.84,13729.54,158295.57,3441.48,134236.78
D000215,A0030,MP,Parliament,Regular,2022-07-22,103631.82,2053.83,14210.8,190557.88,8566.77,121514.58
D000216,A0030,MP,Parliament,Exceptional,2018-05-23,88648.93,1161.8,13798.14,72430.12,56968.03,6477.06
D000217,A0030,MP,Parliament,Exceptional,2019-09-21,117039.1,2287.03,10506.95,152616.89,34435.31,105891.98
D000218,A0030,MP,Parliament,Exceptional,2022-06-19,98311.48,1229.19,17597.9,5182.67,11162.88,103549.05
D000219,A0030,MP,Parliament,Regular,2025-06-01,159005.08,975.16,15362.13,140807.56,12874.23,759671.89
D000220,A0031,MP,Parliament,Initial,2025-08-25,129862.88,4003.57,2714.57,675425.73,10359.38,142673.98
D000221,A0031,MP,Parliament,Regular,2021-08-02,142894.88,4842.48,2850.29,58072.46,17997.4,31501.05
D000222,A0031,MP,Parliament,Regular,2025-12-16,153004.1,4554.86,3511.83,101751.15,7281.75,40196.07
D000223,A0031,MP,Parliament,Regular,2019-07-23,126099.57,3979.63,2336.96,114455.48,28044.35,196602.39
D000224,A0031,MP,Parliament,Exceptional,2018-12-20,108159.43,3595.84,3303.45,95733.02,24647.71,81886.71
D000225,A0031,MP,Parliament,Exceptional,2024-06-12,108679.05,5894.77,3100.96,89994.9,40806.54,68902.96
D000226,A0031,MP,Parliament,Exceptional,2024-03-08,145433.05,2730.28,3980.28,86523.66,54642.74,11082.57
D000227,A0031,MP,Parliament,Regular,2025-12-17,139537.24,2614.39,1804.26,64532.15,42559.93,695838.73
D000228,A0032,MP,Parliament,Initial,2023-12-26,119492.59,16918.67,5012.11,444978.46,33050.48,25034.06
D000229,A0032,MP,Parliament,Regular,2019-01-18,125559.46,11312.43,7225.49,30838.85,39523.97,144126.55
D000230,A0032,MP,Parliament,Regular,2024-10-14,119646.24,24091.0,2712.52,172756.24,4873.37,189709.37
D000231,A0032,MP,Parliament,Regular,2024-06-20,117030.66,12025.94,5373.67,123621.69,1817.15,177799.38
D000232,A0032,MP,Parliament,Exceptional,2025-03-14,152750.38,16630.12,6539.24,136998.17,17846.03,14594.61
D000233,A0032,MP,Parliament,Exceptional,2018-09-03,105038.79,15491.11,4833.89,68038.51,8620.12,172297.02
D000234,A0032,MP,Parliament,Exceptional,2021-07-31,139459.79,23022.55,7394.73,26153.23,22232.41,112330.24
D000235,A0032,MP,Parliament,Regular,2025-03-15,142371.78,16351.43,3846.65,49583.78,5808.7,543105.92
D000236,A0033,MP,Parliament,Initial,2019-10-15,91537.74,4965.41,17306.15,382745.22,19646.15,115537.41
D000237,A0033,MP,Parliament,Regular,2023-08-03,109734.61,4800.63,23866.49,99474.05,5402.95,78648.44
D000238,A0033,MP,Parliament,Regular,2023-02-16,108930.46,3550.98,14760.33,10108.08,29693.65,176467.9
D000239,A0033,MP,Parliament,Regular,2025-05-03,100852.28,3901.56,8794.59,21499.42,8036.1,52894.58
D000240,A0033,MP,Parliament,Exceptional,2022-07-10,89978.74,4471.75,18522.45,38931.06,33193.38,14706.35
